country,lau,cases,population,cases/100k pop.,deaths,hospitalized,datetime
NL,Oldambt,0,38213.0,0.0,,,2020-03-27T14:00:00
NL,Terschelling,0,4889.0,0.0,,,2020-03-27T14:00:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-03-27T14:00:00
NL,Vlieland,0,1152.0,0.0,,,2020-03-27T14:00:00
NL,Ameland,0,3718.0,0.0,,,2020-03-27T14:00:00
NL,Dantumadiel,1,18916.0,5.3,,,2020-03-27T14:00:00
NL,Borger-Odoorn,1,25558.0,3.9,,,2020-03-27T14:00:00
NL,Stadskanaal,1,31688.0,3.2,,,2020-03-27T14:00:00
NL,Loppersum,1,9533.0,10.5,,,2020-03-27T14:00:00
NL,Ooststellingwerf,1,25472.0,3.9,,,2020-03-27T14:00:00
NL,Losser,1,22685.0,4.4,,,2020-03-27T14:00:00
NL,Veendam,1,27387.0,3.7,,,2020-03-27T14:00:00
NL,Appingedam,1,11644.0,8.6,,,2020-03-27T14:00:00
NL,Renswoude,1,5448.0,18.4,,,2020-03-27T14:00:00
NL,Eemnes,1,9247.0,10.8,,,2020-03-27T14:00:00
NL,Opmeer,2,11837.0,16.9,,,2020-03-27T14:00:00
NL,Berkelland,2,43748.0,4.6,,,2020-03-27T14:00:00
NL,Bergen (L.),2,13085.0,15.3,,,2020-03-27T14:00:00
NL,Noord-Beveland,2,7395.0,27.0,,,2020-03-27T14:00:00
NL,Rozendaal,2,1705.0,117.3,,,2020-03-27T14:00:00
NL,Pekela,2,12199.0,16.4,,,2020-03-27T14:00:00
NL,Baarle-Nassau,2,6860.0,29.2,,,2020-03-27T14:00:00
NL,Kapelle,2,12691.0,15.8,,,2020-03-27T14:00:00
NL,Zoeterwoude,2,8611.0,23.2,,,2020-03-27T14:00:00
NL,Hulst,2,27556.0,7.3,,,2020-03-27T14:00:00
NL,Midden-Drenthe,2,33182.0,6.0,,,2020-03-27T14:00:00
NL,Achtkarspelen,2,27836.0,7.2,,,2020-03-27T14:00:00
NL,Westervoort,2,14973.0,13.4,,,2020-03-27T14:00:00
NL,Weststellingwerf,2,25916.0,7.7,,,2020-03-27T14:00:00
NL,Texel,3,13573.0,22.1,,,2020-03-27T14:00:00
NL,Aa en Hunze,3,25453.0,11.8,,,2020-03-27T14:00:00
NL,Aalten,3,27117.0,11.1,,,2020-03-27T14:00:00
NL,De Wolden,3,24327.0,12.3,,,2020-03-27T14:00:00
NL,Lisse,3,22957.0,13.1,,,2020-03-27T14:00:00
NL,Winterswijk,3,28865.0,10.4,,,2020-03-27T14:00:00
NL,Hillegom,3,22208.0,13.5,,,2020-03-27T14:00:00
NL,Bunschoten,3,21867.0,13.7,,,2020-03-27T14:00:00
NL,Midden-Delfland,3,19344.0,15.5,,,2020-03-27T14:00:00
NL,Westerwolde,3,25796.0,11.6,,,2020-03-27T14:00:00
NL,Waadhoeke,3,46079.0,6.5,,,2020-03-27T14:00:00
NL,Westerveld,3,19460.0,15.4,,,2020-03-27T14:00:00
NL,Harlingen,3,15720.0,19.1,,,2020-03-27T14:00:00
NL,Tytsjerksteradiel,3,32046.0,9.4,,,2020-03-27T14:00:00
NL,Noordenveld,3,31242.0,9.6,,,2020-03-27T14:00:00
NL,Meppel,4,33902.0,11.8,,,2020-03-27T14:00:00
NL,Drechterland,4,19717.0,20.3,,,2020-03-27T14:00:00
NL,Scherpenzeel,4,9880.0,40.5,,,2020-03-27T14:00:00
NL,Duiven,4,25124.0,15.9,,,2020-03-27T14:00:00
NL,Delfzijl,4,24666.0,16.2,,,2020-03-27T14:00:00
NL,Noardeast-Fryslân,4,45251.0,8.8,,,2020-03-27T14:00:00
NL,Reusel-De Mierden,4,13110.0,30.5,,,2020-03-27T14:00:00
NL,Leiderdorp,4,27059.0,14.8,,,2020-03-27T14:00:00
NL,Wierden,4,24440.0,16.4,,,2020-03-27T14:00:00
NL,Beemster,4,10025.0,39.9,,,2020-03-27T14:00:00
NL,Wijdemeren,4,24360.0,16.4,,,2020-03-27T14:00:00
NL,Hendrik-Ido-Ambacht,5,31204.0,16.0,,,2020-03-27T14:00:00
NL,Montferland,5,36009.0,13.9,,,2020-03-27T14:00:00
NL,Baarn,5,24873.0,20.1,,,2020-03-27T14:00:00
NL,Midden-Groningen,5,60804.0,8.2,,,2020-03-27T14:00:00
NL,Wageningen,5,39673.0,12.6,,,2020-03-27T14:00:00
NL,Brielle,5,17282.0,28.9,,,2020-03-27T14:00:00
NL,Oude IJsselstreek,5,39392.0,12.7,,,2020-03-27T14:00:00
NL,Heerenveen,5,50494.0,9.9,,,2020-03-27T14:00:00
NL,Rhenen,5,20125.0,24.8,,,2020-03-27T14:00:00
NL,Kaag en Braassem,5,27300.0,18.3,,,2020-03-27T14:00:00
NL,Woensdrecht,5,21883.0,22.8,,,2020-03-27T14:00:00
NL,Smallingerland,5,56154.0,8.9,,,2020-03-27T14:00:00
NL,Mook en Middelaar,5,7847.0,63.7,,,2020-03-27T14:00:00
NL,Brummen,5,20756.0,24.1,,,2020-03-27T14:00:00
NL,Twenterand,5,33743.0,14.8,,,2020-03-27T14:00:00
NL,Staphorst,5,17144.0,29.2,,,2020-03-27T14:00:00
NL,Sluis,6,23217.0,25.8,,,2020-03-27T14:00:00
NL,Haaksbergen,6,24309.0,24.7,,,2020-03-27T14:00:00
NL,Koggenland,6,22752.0,26.4,,,2020-03-27T14:00:00
NL,Wassenaar,6,26214.0,22.9,,,2020-03-27T14:00:00
NL,Moerdijk,6,37136.0,16.2,,,2020-03-27T14:00:00
NL,Wormerland,6,16299.0,36.8,,,2020-03-27T14:00:00
NL,Olst-Wijhe,6,18251.0,32.9,,,2020-03-27T14:00:00
NL,Waalre,6,17454.0,34.4,,,2020-03-27T14:00:00
NL,Opsterland,6,29742.0,20.2,,,2020-03-27T14:00:00
NL,Woudenberg,6,13362.0,44.9,,,2020-03-27T14:00:00
NL,Papendrecht,6,32133.0,18.7,,,2020-03-27T14:00:00
NL,Voorschoten,6,25603.0,23.4,,,2020-03-27T14:00:00
NL,Putten,6,24113.0,24.9,,,2020-03-27T14:00:00
NL,Zandvoort,6,17116.0,35.1,,,2020-03-27T14:00:00
NL,Doesburg,6,11078.0,54.2,,,2020-03-27T14:00:00
NL,Sliedrecht,6,25217.0,23.8,,,2020-03-27T14:00:00
NL,Alblasserdam,6,20165.0,29.8,,,2020-03-27T14:00:00
NL,Vaals,6,10099.0,59.4,,,2020-03-27T14:00:00
NL,Maasdriel,6,25034.0,24.0,,,2020-03-27T14:00:00
NL,Blaricum,6,11536.0,52.0,,,2020-03-27T14:00:00
NL,Gulpen-Wittem,7,14176.0,49.4,,,2020-03-27T14:00:00
NL,Hardinxveld-Giessendam,7,18295.0,38.3,,,2020-03-27T14:00:00
NL,Uitgeest,7,13649.0,51.3,,,2020-03-27T14:00:00
NL,Hattem,7,12213.0,57.3,,,2020-03-27T14:00:00
NL,Wijk bij Duurstede,7,23910.0,29.3,,,2020-03-27T14:00:00
NL,Mill en Sint Hubert,7,10941.0,64.0,,,2020-03-27T14:00:00
NL,Diemen,7,30781.0,22.7,,,2020-03-27T14:00:00
NL,Buren,7,26742.0,26.2,,,2020-03-27T14:00:00
NL,Ommen,7,18007.0,38.9,,,2020-03-27T14:00:00
NL,Nieuwkoop,7,28809.0,24.3,,,2020-03-27T14:00:00
NL,Oost Gelre,7,29623.0,23.6,,,2020-03-27T14:00:00
NL,Oostzaan,7,9733.0,71.9,,,2020-03-27T14:00:00
NL,Zeewolde,7,22656.0,30.9,,,2020-03-27T14:00:00
NL,Ouder-Amstel,7,14029.0,49.9,,,2020-03-27T14:00:00
NL,Krimpen aan den IJssel,7,29533.0,23.7,,,2020-03-27T14:00:00
NL,Het Hogeland,7,47834.0,14.6,,,2020-03-27T14:00:00
NL,Borsele,7,22738.0,30.8,,,2020-03-27T14:00:00
NL,Landsmeer,7,11492.0,60.9,,,2020-03-27T14:00:00
NL,Reimerswaal,7,22728.0,30.8,,,2020-03-27T14:00:00
NL,Voerendaal,7,12471.0,56.1,,,2020-03-27T14:00:00
NL,Waddinxveen,7,29293.0,23.9,,,2020-03-27T14:00:00
NL,Laren,8,11274.0,71.0,,,2020-03-27T14:00:00
NL,Medemblik,8,45104.0,17.7,,,2020-03-27T14:00:00
